case_t,district,case_f,landa,scnt,sbuild,buitype,pbuild,farea,build_r,build_l,build_b,build_p,rule,tprice,upnote,parktype,parea,elevator,metro_in500,metro_in1000,metro_in1500
買賣,中正區,房地(土地+建物)+車位,2.39,土地:1建物:1車位:1,十四層,大樓(11層含以上有電梯),見其他登記事項,37.88,2.0,1.0,1.0,有,有,3745,否,坡道平面1,10.67,有,3,6,12
買賣,中山區,房地(土地+建物)+車位,14.24,土地:1建物:1車位:1,七層,華廈(10層含以下有電梯),住家用,47.1,3.0,2.0,2.0,有,有,3528,是,坡道平面1,0.0,有,0,1,4
買賣,中正區,房地(土地+建物),4.46,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),,10.62,1.0,1.0,1.0,有,無,620,否,,0.0,無,0,1,6
買賣,士林區,房地(土地+建物),5.83,土地:1建物:1車位:,六層,大樓(11層含以上有電梯),住家用,43.7,4.0,2.0,2.0,有,有,3000,否,,0.0,有,0,2,3
預售屋,信義區,房地(土地+建物)+車位,0.89,土地:5建物:1車位:1,十四層,住宅大樓(11層含以上有電梯),住家用,36.49,3.0,2.0,2.0,有,,5228,否,其他1,6.38,,0,2,8
買賣,信義區,房地(土地+建物)+車位,4.97,土地:1建物:1車位:1,"一層,地下一層,地下二層,地下三層",華廈(10層含以下有電梯),住家用,33.61,1.0,1.0,1.0,有,有,2850,否,坡道平面1,14.56,有,1,3,4
買賣,松山區,房地(土地+建物),6.66,土地:1建物:1車位:,七層,華廈(10層含以下有電梯),住家用,39.06,3.0,2.0,2.0,有,有,3550,否,,0.0,有,1,4,8
預售屋,中正區,房地(土地+建物),2.1,土地:8建物:1車位:,九層,住宅大樓(11層含以上有電梯),住家用,21.05,2.0,1.0,1.0,有,,2993,否,,0.0,,3,7,14
買賣,松山區,房地(土地+建物),8.78,土地:1建物:1車位:,六層,華廈(10層含以下有電梯),住家用,51.24,4.0,2.0,2.0,有,無,4100,否,,0.0,有,1,3,6
買賣,內湖區,房地(土地+建物)+車位,4.88,土地:1建物:1車位:1,四層,大樓(11層含以上有電梯),商業用,30.52,,,,無,有,2300,否,坡道機械1,5.0,有,0,0,1
買賣,萬華區,房地(土地+建物),8.18,土地:1建物:1車位:,九層,大樓(11層含以上有電梯),住家用,30.78,2.0,2.0,1.0,有,有,1582,否,,0.0,有,0,0,6
預售屋,大安區,房地(土地+建物)+車位,6.46,土地:2建物:1車位:1,三層,華廈(10層含以下有電梯),住家用,39.06,2.0,2.0,2.0,有,,4627,否,升降機械1,5.15,,1,3,9
買賣,中正區,房地(土地+建物),0.3,土地:4建物:1車位:,一層,大樓(11層含以上有電梯),商業用,1.96,1.0,0.0,0.0,有,無,100,否,,0.0,有,1,3,6
買賣,內湖區,房地(土地+建物)+車位,6.63,土地:1建物:1車位:1,五層,華廈(10層含以下有電梯),見其他登記事項,27.44,2.0,1.0,2.0,有,無,2395,否,其他1,2.0,有,0,2,2
預售屋,萬華區,房地(土地+建物)+車位,5.26,土地:34建物:1車位:1,十層,住宅大樓(11層含以上有電梯),見其他登記事項,51.51,3.0,2.0,2.0,有,,3760,否,坡道平面1,13.66,,0,1,1
預售屋,中正區,房地(土地+建物),2.1,土地:8建物:1車位:,十層,住宅大樓(11層含以上有電梯),住家用,21.05,2.0,1.0,1.0,有,,3088,否,,0.0,,3,7,14
買賣,信義區,房地(土地+建物),2.63,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,6.46,3.0,2.0,1.0,有,無,305,否,,0.0,無,0,2,5
買賣,士林區,房地(土地+建物),10.89,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,34.66,3.0,2.0,2.0,有,無,2450,否,,0.0,無,0,0,0
預售屋,松山區,房地(土地+建物)+車位,5.97,土地:1建物:1車位:2,十一層,住宅大樓(11層含以上有電梯),住家用,57.91,3.0,2.0,2.0,有,,5800,否,坡道平面2,20.42,,0,1,3
買賣,信義區,房地(土地+建物),16.22,土地:1建物:1車位:,一層,華廈(10層含以下有電梯),見其他登記事項,23.9,,,,無,有,2390,否,,0.0,有,0,1,1
預售屋,大安區,房地(土地+建物),2.83,土地:19建物:1車位:,一層,店面(店鋪),見其他登記事項,25.43,0.0,0.0,1.0,有,,4680,否,,0.0,,1,3,9
買賣,大安區,房地(土地+建物)+車位,4.53,土地:2建物:1車位:1,八層,大樓(11層含以上有電梯),住家用,51.27,1.0,0.0,2.0,有,有,9685,是,塔式車位1,3.62,有,0,4,12
買賣,文山區,房地(土地+建物),4.8,土地:1建物:1車位:,五層,華廈(10層含以下有電梯),見其他登記事項,20.41,1.0,1.0,1.0,有,無,1810,否,,0.0,有,1,1,6
買賣,文山區,房地(土地+建物),6.57,土地:1建物:1車位:,七層,華廈(10層含以下有電梯),住家用,26.11,3.0,1.0,1.0,有,無,576,否,,0.0,有,1,2,3
買賣,中正區,房地(土地+建物),1.49,土地:2建物:1車位:,五層,華廈(10層含以下有電梯),商業用,15.45,0.0,1.0,0.0,有,有,1230,否,,0.0,有,3,8,14
買賣,內湖區,房地(土地+建物),10.8,土地:1建物:1車位:,三層,大樓(11層含以上有電梯),住家用,53.38,4.0,2.0,2.0,有,有,3850,否,,0.0,有,2,2,5
預售屋,信義區,房地(土地+建物)+車位,1.54,土地:10建物:1車位:1,十六層,住宅大樓(11層含以上有電梯),住家用,29.86,2.0,2.0,1.0,有,,3398,否,坡道平面1,8.45,,1,3,6
買賣,大同區,房地(土地+建物)+車位,7.21,土地:1建物:1車位:1,六層,大樓(11層含以上有電梯),住家用,61.06,4.0,2.0,3.0,有,有,5928,否,坡道平面1,9.47,有,3,8,13
預售屋,信義區,房地(土地+建物)+車位,3.97,土地:11建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),住家用,37.71,2.0,2.0,1.0,有,,5260,否,坡道平面1,10.3,,1,3,7
買賣,中山區,房地(土地+建物)+車位,1.87,土地:1建物:1車位:1,五層,大樓(11層含以上有電梯),住家用,20.09,,,,無,有,1700,否,升降機械1,5.83,有,2,5,15
買賣,大同區,房地(土地+建物),2.7,土地:1建物:1車位:,三層,華廈(10層含以下有電梯),商業用,21.7,2.0,1.0,1.0,有,有,1500,否,,0.0,有,1,3,10
預售屋,松山區,房地(土地+建物),3.84,土地:3建物:1車位:0,二層,華廈(10層含以下有電梯),住家用,19.41,2.0,1.0,1.0,有,,2280,否,,0.0,,0,1,3
買賣,中山區,房地(土地+建物),1.41,土地:1建物:1車位:,七層,大樓(11層含以上有電梯),商業用,17.72,,,,無,有,450,否,,0.0,有,2,9,14
買賣,中山區,房地(土地+建物)+車位,29.98,土地:1建物:1車位:2,二層,大樓(11層含以上有電梯),見其他登記事項,151.35,4.0,2.0,5.0,有,有,12200,是,坡道平面2,22.31,有,1,2,2
買賣,北投區,房地(土地+建物)+車位,6.78,土地:1建物:1車位:1,五層,華廈(10層含以下有電梯),住家用,34.38,2.0,1.0,1.0,有,無,1420,是,升降平面1,11.93,有,0,0,2
預售屋,中山區,房地(土地+建物),2.69,土地:6建物:1車位:,八層,住宅大樓(11層含以上有電梯),住家用,14.3,1.0,1.0,1.0,有,,1708,否,,0.0,,1,2,11
買賣,信義區,房地(土地+建物),8.68,土地:1建物:1車位:,六層,華廈(10層含以下有電梯),住家用,39.45,3.0,2.0,2.0,有,無,1888,否,,0.0,有,0,1,1
預售屋,萬華區,房地(土地+建物)+車位,5.21,土地:32建物:1車位:2,四層,住宅大樓(11層含以上有電梯),住商用,91.93,3.0,1.0,1.0,有,,5900,否,坡道平面2,18.63,,0,3,8
買賣,文山區,房地(土地+建物)+車位,8.02,土地:2建物:1車位:1,三層,華廈(10層含以下有電梯),住家用,18.93,2.0,0.0,1.0,有,有,750,是,塔式車位1,0.0,有,0,3,3
預售屋,萬華區,房地(土地+建物)+車位,4.18,土地:34建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,43.56,2.0,2.0,2.0,有,,2900,否,坡道平面1,13.66,,0,1,1
買賣,南港區,車位,0.31,土地:1建物:1車位:3,"一層,地下一層",,見其他登記事項,1.88,,,,無,有,247,-,塔式車位3,0.0,有,1,3,4
買賣,大安區,車位,0.08,土地:1建物:1車位:1,"一層,地下一層,地下二層,地下三層",,停車空間,7.43,,,,無,有,320,-,坡道平面1,7.43,有,4,6,11
買賣,信義區,房地(土地+建物)+車位,46.94,土地:1建物:1車位:3,十五層,大樓(11層含以上有電梯),住家用,227.46,,,,無,有,44588,否,坡道平面3,38.01,有,0,4,5
買賣,北投區,房地(土地+建物)+車位,8.0,土地:1建物:1車位:1,十一層,大樓(11層含以上有電梯),見其他登記事項,51.9,3.0,2.0,2.0,有,有,5050,否,坡道平面1,11.28,有,0,1,3
買賣,中山區,房地(土地+建物),2.53,土地:1建物:1車位:,十層,華廈(10層含以下有電梯),住家用,12.51,1.0,1.0,1.0,有,有,720,否,,0.0,有,0,0,0
預售屋,北投區,房地(土地+建物)+車位,13.2,土地:1建物:1車位:2,二十三層,住宅大樓(11層含以上有電梯),住家用,89.74,4.0,2.0,3.0,有,,11322,否,坡道平面2,15.74,,0,0,0
預售屋,內湖區,房地(土地+建物)+車位,5.36,土地:6建物:1車位:1,七層,住宅大樓(11層含以上有電梯),住家用,50.81,3.0,2.0,2.0,有,,4652,否,坡道平面1,11.17,,0,2,2
買賣,松山區,房地(土地+建物),9.38,土地:5建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,30.49,3.0,1.0,1.0,有,無,1800,否,,0.0,無,0,5,12
預售屋,萬華區,房地(土地+建物)+車位,5.16,土地:34建物:1車位:1,四層,住宅大樓(11層含以上有電梯),見其他登記事項,50.49,3.0,2.0,2.0,有,,3382,否,坡道平面1,13.66,,0,1,1
預售屋,萬華區,房地(土地+建物)+車位,4.18,土地:34建物:1車位:1,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,43.56,2.0,2.0,2.0,有,,3035,否,坡道平面1,13.66,,0,1,1
預售屋,中正區,房地(土地+建物)+車位,3.09,土地:8建物:1車位:1,九層,住宅大樓(11層含以上有電梯),住家用,34.32,2.0,1.0,2.0,有,,4651,否,塔式車位1,3.28,,3,7,14
