_id,_importdate,case_t,district,case_f,build_name,location,landa,landa_z,sdate,scnt,trans_target,sbuild,tbuild,buitype,pbuild,mbuild,fdate,farea,build_r,build_l,build_b,build_p,rule,build_c,tprice,uprice,upnote,parktype,parea,pprice,elevator,mb_area,sb_area,pu_area,rmnote,longitude,latitude,metro_in500,metro_in1000,metro_in1500
1,"{'date': '2024-12-18 10:34:28.441907', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,士林區,房屋,,臺北市中山北路五段699巷12號,0.0,,1131105,土地:建物:車位:,,二層,2.0,透天厝,住家用,,,4.5,3.0,0.0,3.0,有,無,有,1,0.0,-,,0.0,0,,,,,,121.52659438643232,25.097694738546075,0,2,4
2,"{'date': '2024-12-18 10:34:28.454653', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物)+車位,,臺北市漢口街一段57號十四樓之5,2.39,,1130918,土地:1建物:1車位:1,,十四層,,大樓(11層含以上有電梯),見其他登記事項,,,37.88,2.0,1.0,1.0,有,有,,3745,125.51,否,坡道平面1,10.67,330,有,,,,,121.512277,25.04527490000001,3,6,12
3,"{'date': '2024-12-18 10:34:28.456672', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市泰順街54巷6號二樓,0.0,,1131106,土地:建物:1車位:,,二層,5.0,公寓(無電梯),住家用,,,38.22,4.0,2.0,2.0,有,無,無,4,915.75,否,,0.0,0,,,,,,121.5307902,25.02255019999998,1,3,8
4,"{'date': '2024-12-18 10:34:28.458352', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物)+車位,,臺北市敬業三路162巷57號七樓,14.24,,1130913,土地:1建物:1車位:1,,七層,,華廈(10層含以下有電梯),住家用,,,47.1,3.0,2.0,2.0,有,有,,3528,74.9,是,坡道平面1,0.0,0,有,,,,建築物含有：陽台外推、其他增建。抽籤車位，一年一抽。,121.5588843,25.0783403,0,1,4
5,"{'date': '2024-12-18 10:34:28.460228', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大安區,房屋,,臺北市信義路三段147巷17弄17號四樓之2,0.0,,1131101,土地:建物:1車位:,,四層,7.0,華廈(10層含以下有電梯),住家用,,,8.35,1.0,1.0,1.0,有,無,有,2,2383.23,否,,0.0,0,,,,,,121.5430799,25.03558549999998,4,10,16
6,"{'date': '2024-12-18 10:34:28.461704', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,萬華區,房屋,,臺北市德昌街147巷9號四樓,0.0,,1131106,土地:建物:1車位:,,四層,5.0,公寓(無電梯),住家用,,,28.0,3.0,2.0,1.0,有,無,無,2,535.71,否,,0.0,0,,,,,,121.4965236,25.0256546,0,0,1
7,"{'date': '2024-12-18 10:34:28.462952', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,土地,,臺北市通化段六小段0344-0000地號,0.97,,1131106,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,142,146.39,-,,0.0,0,無,,,,,121.5542672,25.0301412,1,2,9
8,"{'date': '2024-12-18 10:34:28.464472', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市吉林路393巷19號四樓,8.77,,1131104,土地:1建物:1車位:,,四層,4.0,公寓(無電梯),住家用,,,24.3,3.0,2.0,2.0,有,無,無,3,1358.02,否,,0.0,0,,,,,,121.5311883,25.0657432,0,2,9
9,"{'date': '2024-12-18 10:34:28.465759', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中正區,房地(土地+建物),,臺北市中華路二段309巷16號三樓,4.46,,1131101,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),,,,10.62,1.0,1.0,1.0,有,無,,620,58.38,否,,0.0,0,無,,,,,121.5059833,25.02875990000002,0,1,6
10,"{'date': '2024-12-18 10:34:28.467190', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市承德路四段294號六樓,5.83,,1131027,土地:1建物:1車位:,,六層,,大樓(11層含以上有電梯),住家用,,,43.7,4.0,2.0,2.0,有,有,,3000,68.65,否,,0.0,0,有,,,,建築物含有：其他增建。,121.51908,25.08941599999998,0,2,3
